,EDA,rise_time,max_deriv,amp,decay_time,SCR_width,AUC
2019-05-21 02:19:26.625000,0.254526634752,2.0,0.0492665227299,0.0348921605083,0.75,1.25,0.0436152006354
2019-05-21 02:29:26.625000,0.366388014775,2.375,0.0480312283804,0.0440185355917,1.5,2.125,0.0935393881324
2019-05-21 02:30:08.750000,0.417631633364,3.125,0.0405682333092,0.0925388016879,1.875,3.25,0.300751105486
2019-05-21 02:31:39.625000,0.374622622182,2.75,0.00420103368997,0.0305489658914,,,
2019-05-21 03:05:54.250000,0.457775237556,2.875,0.144183831986,0.152287577598,,,
2019-05-21 03:16:46.500000,0.511088035307,4.0,0.0311964365831,0.135122040242,,,
2019-05-21 03:20:51.375000,0.365654436769,2.875,0.0247347892401,0.0474364499533,,,
2019-05-21 03:23:20.750000,0.696504519778,2.0,0.208779266163,0.229947129707,,,
2019-05-21 03:24:33,0.893821884397,4.0,0.0292252021252,0.211776439302,,,
2019-05-21 03:25:55,1.21767133401,2.75,0.191889252338,0.22987776812,1.5,2.375,0.545959699284
2019-05-21 03:27:40.250000,0.872576467188,3.0,0.145461111555,0.251092885579,2.125,3.25,0.816051878132
