,EDA,rise_time,max_deriv,amp,decay_time,SCR_width,AUC
2019-05-19 22:59:48.625000,0.427163954579,2.0,0.139769931861,0.128680872259,1.5,2.25,0.289531962582
2019-05-19 23:18:50.125000,0.69094215749,2.5,0.0423834903578,0.102509480543,1.75,3.25,0.333155811763
2019-05-19 23:32:51.625000,0.6697721439,2.0,0.110876612724,0.101668856805,2.25,2.875,0.292297963314
2019-05-19 23:38:44.875000,0.776410880324,2.375,0.0578381737766,0.0887845811059,1.5,2.875,0.255255670679
2019-05-19 23:39:38.500000,0.656159936823,2.5,0.0495261279415,0.0930891469774,2.375,3.625,0.337448157793
2019-05-19 23:45:06.250000,3.27005333298,3.625,0.0408130938374,0.435794707231,2.25,4.5,1.96107618254
2019-05-19 23:45:24.625000,3.83501610373,2.75,0.50488193057,0.75509865242,2.25,3.625,2.73723261502
2019-05-19 23:45:33.125000,3.11202039079,0.875,0.144143352951,0.0709680567212,0.875,1.25,0.0887100709015
2019-05-19 23:46:35,3.76100216525,4.0,0.348373636035,0.628726612968,,,
2019-05-19 23:46:53.250000,3.78374822921,4.0,0.388715210077,0.548015911933,2.375,3.375,1.84955370277
2019-05-19 23:47:06.375000,3.98893050661,2.875,0.400092373121,0.673747920846,,,
2019-05-19 23:47:12.375000,5.04534617529,3.0,0.892034955563,1.36686373972,1.5,2.75,3.75887528422
2019-05-19 23:47:40.875000,4.21910664183,2.125,0.653997778091,0.752172747571,2.25,3.25,2.44456142961
2019-05-19 23:48:14.250000,4.25674534782,2.875,0.83188176262,0.941552559705,2.25,3.25,3.06004581904
2019-05-19 23:48:43.750000,3.6146626522,2.0,0.356505201223,0.428271739189,2.0,2.875,1.23128125017
2019-05-19 23:48:55.750000,3.6701769496,3.375,0.239429249928,0.526355627123,2.625,4.375,2.30280586866
2019-05-19 23:49:03.875000,3.72425552288,2.25,0.289173062131,0.332331363386,2.0,2.75,0.913911249311
2019-05-19 23:49:29.125000,4.36952813781,2.125,0.889046728363,0.826145842317,2.25,3.125,2.58170575724
2019-05-19 23:50:25.375000,4.29190256814,3.125,0.629237106198,1.00868229142,1.125,2.5,2.52170572856
2019-05-19 23:50:55.125000,2.78771792884,2.25,0.0257603738215,0.145102361711,1.625,3.375,0.489720470774
2019-05-19 23:51:35.500000,2.86880830209,2.0,0.561566955749,0.607659040073,1.25,2.25,1.36723284016
2019-05-19 23:51:51.750000,3.38339292095,2.5,0.659510854501,0.99062062689,2.0,3.25,3.21951703739
2019-05-19 23:53:21.250000,3.34919270764,2.5,0.125194605301,0.167977174842,2.375,3.625,0.608917258802
2019-05-19 23:53:30.500000,3.53469017595,3.625,0.0801742440937,0.484695912255,,,
